time,frequency_hz,confidence,voiced,model,low_hz,high_hz
0.0,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.01,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.02,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.03,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.04,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.05,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.06,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.07,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.08,272.4233703613281,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.09,295.3688659667969,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.1,293.66766357421875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.11,300.5318603515625,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.12,298.8009338378906,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.13,314.745361328125,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.14,333.4612121582031,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.15,325.84490966796875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.16,327.73248291015625,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.17,333.4612121582031,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.18,333.4612121582031,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.19,318.40252685546875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.2,288.62261962890625,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.21,290.29461669921875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.22,290.29461669921875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.23,288.62261962890625,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.24,288.62261962890625,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.25,290.29461669921875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.26,291.9762878417969,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.27,293.66766357421875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.28,293.66766357421875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.29,293.66766357421875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.3,293.66766357421875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.31,291.9762878417969,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.32,291.9762878417969,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.33,291.9762878417969,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.34,277.1852722167969,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.35,282.0304260253906,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.36,293.66766357421875,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.37,300.5318603515625,0.13028483092784882,True,essentia-melodia,200.0,1007.0
0.38,442.5543518066406,0.14660485088825226,True,essentia-melodia,200.0,1007.0
0.39,440.0054016113281,0.14660485088825226,True,essentia-melodia,200.0,1007.0
0.4,437.4711608886719,0.14660485088825226,True,essentia-melodia,200.0,1007.0
0.41,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.42,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.43,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.44,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.45,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.46,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.47,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.48,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.49,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.5,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.51,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.52,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.53,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.54,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.55,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.56,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.57,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.58,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.59,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.6,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.61,0.0,0.0,False,essentia-melodia,200.0,1007.0
0.62,285.3074951171875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.63,288.62261962890625,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.64,293.66766357421875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.65,290.29461669921875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.66,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.67,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.68,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.69,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.7,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.71,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.72,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.73,293.66766357421875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.74,293.66766357421875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.75,293.66766357421875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.76,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.77,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.78,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.79,290.29461669921875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.8,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.81,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.82,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.83,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.84,293.66766357421875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.85,291.9762878417969,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.86,288.62261962890625,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.87,293.66766357421875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.88,314.745361328125,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.89,333.4612121582031,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.9,333.4612121582031,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.91,329.63104248046875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.92,331.54058837890625,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.93,331.54058837890625,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.94,329.63104248046875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.95,329.63104248046875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.96,329.63104248046875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.97,329.63104248046875,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.98,331.54058837890625,0.1604110151529312,True,essentia-melodia,200.0,1007.0
0.99,331.54058837890625,0.1604110151529312,True,essentia-melodia,200.0,1007.0
1.0,331.54058837890625,0.1604110151529312,True,essentia-melodia,200.0,1007.0
1.01,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.02,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.03,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.04,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.05,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.06,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.07,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.08,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.09,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.1,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.11,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.12,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.13,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.14,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.15,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.16,0.0,0.0,False,essentia-melodia,200.0,1007.0
1.17,323.9681396484375,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.18,318.40252685546875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.19,322.1022033691406,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.2,323.9681396484375,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.21,322.1022033691406,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.22,323.9681396484375,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.23,325.84490966796875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.24,323.9681396484375,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.25,323.9681396484375,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.26,325.84490966796875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.27,323.9681396484375,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.28,325.84490966796875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.29,327.73248291015625,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.3,318.40252685546875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.31,322.1022033691406,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.32,329.63104248046875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.33,323.9681396484375,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.34,325.84490966796875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.35,329.63104248046875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.36,325.84490966796875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.37,329.63104248046875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.38,293.66766357421875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.39,290.29461669921875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.4,288.62261962890625,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.41,314.745361328125,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.42,318.40252685546875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.43,318.40252685546875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.44,316.56866455078125,0.16470977663993835,True,essentia-melodia,200.0,1007.0
1.45,318.40252685546875,0.16470977663993835,True,essentia-melodia,200.0,1007.0
