time,frequency_hz,confidence,voiced,model,low_hz,high_hz
0.0,0.0,0.010000078102280324,False,librosa-pyin,135.0,400.0
0.01,0.0,0.010000516719604524,False,librosa-pyin,135.0,400.0
0.02,0.0,0.01000032860450166,False,librosa-pyin,135.0,400.0
0.03,0.0,0.01,False,librosa-pyin,135.0,400.0
0.04,0.0,0.010000000000613862,False,librosa-pyin,135.0,400.0
0.05,0.0,0.010000000001606035,False,librosa-pyin,135.0,400.0
0.06,0.0,0.010000078101510886,False,librosa-pyin,135.0,400.0
0.07,0.0,0.010009025493342986,False,librosa-pyin,135.0,400.0
0.08,0.0,0.012403124793551348,False,librosa-pyin,135.0,400.0
0.09,0.0,0.015085587297504338,False,librosa-pyin,135.0,400.0
0.1,0.0,0.026168028608935755,False,librosa-pyin,135.0,400.0
0.11,0.0,0.011422334250709076,False,librosa-pyin,135.0,400.0
0.12,0.0,0.010259050559778863,False,librosa-pyin,135.0,400.0
0.13,0.0,0.011422334250709074,False,librosa-pyin,135.0,400.0
0.14,0.0,0.010009025493342984,False,librosa-pyin,135.0,400.0
0.15,0.0,0.010037765502929688,False,librosa-pyin,135.0,400.0
0.16,0.0,0.010001232964986123,False,librosa-pyin,135.0,400.0
0.17,0.0,0.010000005216229447,False,librosa-pyin,135.0,400.0
0.18,0.0,0.010622609040911533,False,librosa-pyin,135.0,400.0
0.19,0.0,0.02616802860893576,False,librosa-pyin,135.0,400.0
0.2,0.0,0.015085587297504338,False,librosa-pyin,135.0,400.0
0.21,0.0,0.022944219124638603,False,librosa-pyin,135.0,400.0
0.22,0.0,0.010467533617069903,False,librosa-pyin,135.0,400.0
0.23,0.0,0.010000328604501662,False,librosa-pyin,135.0,400.0
0.24,0.0,0.010000047007977299,False,librosa-pyin,135.0,400.0
0.25,0.0,0.01000000002170159,False,librosa-pyin,135.0,400.0
0.26,0.0,0.01000020633903134,False,librosa-pyin,135.0,400.0
0.27,0.0,0.01000419105279527,False,librosa-pyin,135.0,400.0
0.28,0.0,0.010000802780927253,False,librosa-pyin,135.0,400.0
0.29,0.0,0.0100028158258111,False,librosa-pyin,135.0,400.0
0.3,0.0,0.010000078102280324,False,librosa-pyin,135.0,400.0
0.31,0.0,0.01001876450976914,False,librosa-pyin,135.0,400.0
0.32,0.0,0.0100028158258111,False,librosa-pyin,135.0,400.0
0.33,0.0,0.010000206339031339,False,librosa-pyin,135.0,400.0
0.34,0.0,0.01002672467381077,False,librosa-pyin,135.0,400.0
0.35,0.0,0.0100028158258111,False,librosa-pyin,135.0,400.0
0.36,0.0,0.010009025493342984,False,librosa-pyin,135.0,400.0
0.37,0.0,0.010013068846238975,False,librosa-pyin,135.0,400.0
0.38,0.0,0.010000206339031339,False,librosa-pyin,135.0,400.0
0.39,0.0,0.01000419105279527,False,librosa-pyin,135.0,400.0
0.4,0.0,0.010037765502929688,False,librosa-pyin,135.0,400.0
0.41,0.0,0.011085791888943373,False,librosa-pyin,135.0,400.0
0.42,0.0,0.010467533617069905,False,librosa-pyin,135.0,400.0
0.43,0.0,0.011853505394683413,False,librosa-pyin,135.0,400.0
0.44,0.0,0.011853505394683413,False,librosa-pyin,135.0,400.0
0.45,0.0,0.0100000470079773,False,librosa-pyin,135.0,400.0
0.46,0.0,0.010000005216229449,False,librosa-pyin,135.0,400.0
0.47,0.0,0.010000516719604524,False,librosa-pyin,135.0,400.0
0.48,0.0,0.01000000928748663,False,librosa-pyin,135.0,400.0
0.49,0.0,0.01000123296498612,False,librosa-pyin,135.0,400.0
0.5,0.0,0.01000123296498612,False,librosa-pyin,135.0,400.0
0.51,0.0,0.010001873046012551,False,librosa-pyin,135.0,400.0
0.52,0.0,0.010259050559778863,False,librosa-pyin,135.0,400.0
0.53,0.0,0.0229442191246386,False,librosa-pyin,135.0,400.0
0.54,0.0,0.010002815825811102,False,librosa-pyin,135.0,400.0
0.55,0.0,0.01000020633903134,False,librosa-pyin,135.0,400.0
0.56,0.0,0.010000328604501658,False,librosa-pyin,135.0,400.0
0.57,0.0,0.01000020633903134,False,librosa-pyin,135.0,400.0
0.58,0.0,0.010009025493342986,False,librosa-pyin,135.0,400.0
0.59,0.0,0.010191075496968311,False,librosa-pyin,135.0,400.0
0.6,0.0,0.01014004604470407,False,librosa-pyin,135.0,400.0
0.61,0.0,0.011422334250709074,False,librosa-pyin,135.0,400.0
0.62,0.0,0.011422334250709074,False,librosa-pyin,135.0,400.0
0.63,0.0,0.011085791888943373,False,librosa-pyin,135.0,400.0
0.64,0.0,0.030106861794195014,False,librosa-pyin,135.0,400.0
0.65,0.0,0.04069733156888106,False,librosa-pyin,135.0,400.0
0.66,0.0,0.04768699308253104,False,librosa-pyin,135.0,400.0
0.67,0.0,0.047686993082531035,False,librosa-pyin,135.0,400.0
0.68,0.0,0.010000027850262286,False,librosa-pyin,135.0,400.0
0.69,0.0,0.010000000814014906,False,librosa-pyin,135.0,400.0
0.7,0.0,0.010000000417925078,False,librosa-pyin,135.0,400.0
0.71,0.0,0.01000000521622945,False,librosa-pyin,135.0,400.0
0.72,0.0,0.010259050559778861,False,librosa-pyin,135.0,400.0
0.73,0.0,0.010000000000613858,False,librosa-pyin,135.0,400.0
0.74,0.0,0.010000005216229449,False,librosa-pyin,135.0,400.0
0.75,0.0,0.010000000814014906,False,librosa-pyin,135.0,400.0
0.76,0.0,0.010000002871100368,False,librosa-pyin,135.0,400.0
0.77,0.0,0.010000047007977303,False,librosa-pyin,135.0,400.0
0.78,259.30069516377114,0.010000000208892744,True,librosa-pyin,135.0,400.0
0.79,244.7472654255898,0.010052967545965857,True,librosa-pyin,135.0,400.0
0.8,244.7472654255898,0.010824463728234167,True,librosa-pyin,135.0,400.0
0.81,237.77978587096007,0.04069733156888106,True,librosa-pyin,135.0,400.0
0.82,233.6948714716586,0.27960516533635893,True,librosa-pyin,135.0,400.0
0.83,235.04865208995352,0.09203757081218103,True,librosa-pyin,135.0,400.0
0.84,251.918907714938,0.2065067991177523,True,librosa-pyin,135.0,400.0
0.85,250.46796157415358,0.3233360583906408,True,librosa-pyin,135.0,400.0
0.86,253.37825910120864,0.2796051653363589,True,librosa-pyin,135.0,400.0
