time,frequency_hz,confidence,voiced,model,low_hz,high_hz
0.0,152.86145529381196,1.0,True,librosa-yin,135.0,269.0
0.01,148.26776992640978,1.0,True,librosa-yin,135.0,269.0
0.02,148.87410427151212,1.0,True,librosa-yin,135.0,269.0
0.03,151.08502555382344,1.0,True,librosa-yin,135.0,269.0
0.04,153.15676352613494,1.0,True,librosa-yin,135.0,269.0
0.05,154.84966546142354,1.0,True,librosa-yin,135.0,269.0
0.06,155.55586507636755,1.0,True,librosa-yin,135.0,269.0
0.07,154.7362398681359,1.0,True,librosa-yin,135.0,269.0
0.08,152.38684969602255,1.0,True,librosa-yin,135.0,269.0
0.09,149.5746065435498,1.0,True,librosa-yin,135.0,269.0
0.1,147.74428382991977,1.0,True,librosa-yin,135.0,269.0
0.11,147.45553670572482,1.0,True,librosa-yin,135.0,269.0
0.12,148.4501977479771,1.0,True,librosa-yin,135.0,269.0
0.13,150.24242969537136,1.0,True,librosa-yin,135.0,269.0
0.14,152.34569450708446,1.0,True,librosa-yin,135.0,269.0
0.15,154.26251923092187,1.0,True,librosa-yin,135.0,269.0
0.16,155.43290125858502,1.0,True,librosa-yin,135.0,269.0
0.17,155.26465217201329,1.0,True,librosa-yin,135.0,269.0
0.18,153.4577070269827,1.0,True,librosa-yin,135.0,269.0
0.19,150.64196586510872,1.0,True,librosa-yin,135.0,269.0
0.2,148.29138693793416,1.0,True,librosa-yin,135.0,269.0
0.21,147.39207235375957,1.0,True,librosa-yin,135.0,269.0
0.22,147.9323960060618,1.0,True,librosa-yin,135.0,269.0
0.23,149.4674458003674,1.0,True,librosa-yin,135.0,269.0
0.24,151.50500522602394,1.0,True,librosa-yin,135.0,269.0
0.25,153.55862938654113,1.0,True,librosa-yin,135.0,269.0
0.26,155.0961992555967,1.0,True,librosa-yin,135.0,269.0
0.27,155.64454994445757,1.0,True,librosa-yin,135.0,269.0
0.28,151.99231781956,1.0,True,librosa-yin,135.0,269.0
0.29,165.92772462035106,1.0,True,librosa-yin,135.0,269.0
0.3,144.69247308155943,1.0,True,librosa-yin,135.0,269.0
0.31,146.44389963067758,1.0,True,librosa-yin,135.0,269.0
0.32,146.35724667179755,1.0,True,librosa-yin,135.0,269.0
0.33,145.41537414811563,1.0,True,librosa-yin,135.0,269.0
0.34,145.80304415270308,1.0,True,librosa-yin,135.0,269.0
0.35,146.06861803854702,1.0,True,librosa-yin,135.0,269.0
0.36,145.99653638768066,1.0,True,librosa-yin,135.0,269.0
0.37,146.62573780305166,1.0,True,librosa-yin,135.0,269.0
0.38,146.9437521987474,1.0,True,librosa-yin,135.0,269.0
0.39,146.25678918482754,1.0,True,librosa-yin,135.0,269.0
0.4,146.70417987209504,1.0,True,librosa-yin,135.0,269.0
0.41,146.75695918606067,1.0,True,librosa-yin,135.0,269.0
0.42,191.29616248829234,1.0,True,librosa-yin,135.0,269.0
