time,frequency_hz,confidence,voiced,model,low_hz,high_hz
0.0,135.41946183208796,1.0,True,librosa-yin,135.0,400.0
0.01,140.4190410969769,1.0,True,librosa-yin,135.0,400.0
0.02,142.63696206247542,1.0,True,librosa-yin,135.0,400.0
0.03,160.30680536723034,1.0,True,librosa-yin,135.0,400.0
0.04,200.88462067441444,1.0,True,librosa-yin,135.0,400.0
0.05,191.83504495095255,1.0,True,librosa-yin,135.0,400.0
0.06,163.7191934688376,1.0,True,librosa-yin,135.0,400.0
0.07,163.7811219678295,1.0,True,librosa-yin,135.0,400.0
0.08,172.9448754700392,1.0,True,librosa-yin,135.0,400.0
0.09,174.0828302028077,1.0,True,librosa-yin,135.0,400.0
0.1,181.42231979584727,1.0,True,librosa-yin,135.0,400.0
0.11,187.50027314468036,1.0,True,librosa-yin,135.0,400.0
0.12,186.89536448452432,1.0,True,librosa-yin,135.0,400.0
0.13,186.5805026758967,1.0,True,librosa-yin,135.0,400.0
0.14,186.44706755522284,1.0,True,librosa-yin,135.0,400.0
0.15,176.42477383540734,1.0,True,librosa-yin,135.0,400.0
0.16,176.0160389614192,1.0,True,librosa-yin,135.0,400.0
0.17,189.76966772793904,1.0,True,librosa-yin,135.0,400.0
0.18,181.3307445165032,1.0,True,librosa-yin,135.0,400.0
0.19,181.10370877508487,1.0,True,librosa-yin,135.0,400.0
0.2,180.8368878109744,1.0,True,librosa-yin,135.0,400.0
0.21,174.37946172070588,1.0,True,librosa-yin,135.0,400.0
0.22,174.359794218699,1.0,True,librosa-yin,135.0,400.0
0.23,155.9902601474352,1.0,True,librosa-yin,135.0,400.0
0.24,155.73791375809975,1.0,True,librosa-yin,135.0,400.0
0.25,155.31971438029757,1.0,True,librosa-yin,135.0,400.0
0.26,191.80973311102875,1.0,True,librosa-yin,135.0,400.0
0.27,191.5357072723093,1.0,True,librosa-yin,135.0,400.0
0.28,191.08482518661447,1.0,True,librosa-yin,135.0,400.0
0.29,177.1582029139052,1.0,True,librosa-yin,135.0,400.0
0.3,176.69783664900612,1.0,True,librosa-yin,135.0,400.0
0.31,165.77837261190248,1.0,True,librosa-yin,135.0,400.0
0.32,170.84692538915232,1.0,True,librosa-yin,135.0,400.0
0.33,183.59772773753312,1.0,True,librosa-yin,135.0,400.0
0.34,191.73248892291892,1.0,True,librosa-yin,135.0,400.0
