time,frequency_hz,confidence,voiced,model,low_hz,high_hz
0.0,261.3904023441439,1.0,True,librosa-yin,200.0,1007.0
0.01,261.2245888212472,1.0,True,librosa-yin,200.0,1007.0
0.02,261.09413009647517,1.0,True,librosa-yin,200.0,1007.0
0.03,260.7939850685545,1.0,True,librosa-yin,200.0,1007.0
0.04,259.7574624439905,1.0,True,librosa-yin,200.0,1007.0
0.05,252.9848506666485,1.0,True,librosa-yin,200.0,1007.0
0.06,0.0,1.0,False,librosa-yin,200.0,1007.0
0.07,0.0,1.0,False,librosa-yin,200.0,1007.0
0.08,0.0,1.0,False,librosa-yin,200.0,1007.0
0.09,0.0,1.0,False,librosa-yin,200.0,1007.0
0.1,306.1879489204236,1.0,True,librosa-yin,200.0,1007.0
0.11,293.6215260495773,1.0,True,librosa-yin,200.0,1007.0
0.12,278.2617283976515,1.0,True,librosa-yin,200.0,1007.0
0.13,273.9356713381744,1.0,True,librosa-yin,200.0,1007.0
0.14,272.04746139392864,1.0,True,librosa-yin,200.0,1007.0
0.15,270.4290554218537,1.0,True,librosa-yin,200.0,1007.0
0.16,265.19183537802076,1.0,True,librosa-yin,200.0,1007.0
0.17,263.6199651853338,1.0,True,librosa-yin,200.0,1007.0
0.18,293.5079717029679,1.0,True,librosa-yin,200.0,1007.0
0.19,290.1925969796156,1.0,True,librosa-yin,200.0,1007.0
0.2,393.5641363182211,1.0,True,librosa-yin,200.0,1007.0
0.21,394.0164011752233,1.0,True,librosa-yin,200.0,1007.0
0.22,390.71079833744943,1.0,True,librosa-yin,200.0,1007.0
0.23,406.8773980416214,1.0,True,librosa-yin,200.0,1007.0
0.24,0.0,1.0,False,librosa-yin,200.0,1007.0
0.25,0.0,1.0,False,librosa-yin,200.0,1007.0
0.26,0.0,1.0,False,librosa-yin,200.0,1007.0
0.27,0.0,1.0,False,librosa-yin,200.0,1007.0
0.28,0.0,1.0,False,librosa-yin,200.0,1007.0
0.29,0.0,1.0,False,librosa-yin,200.0,1007.0
0.3,0.0,1.0,False,librosa-yin,200.0,1007.0
0.31,0.0,1.0,False,librosa-yin,200.0,1007.0
0.32,0.0,1.0,False,librosa-yin,200.0,1007.0
0.33,319.10755987285324,1.0,True,librosa-yin,200.0,1007.0
0.34,335.6956678609753,1.0,True,librosa-yin,200.0,1007.0
0.35,333.88388451406973,1.0,True,librosa-yin,200.0,1007.0
0.36,320.8387512165799,1.0,True,librosa-yin,200.0,1007.0
0.37,312.9275519943987,1.0,True,librosa-yin,200.0,1007.0
0.38,292.20584836505196,1.0,True,librosa-yin,200.0,1007.0
0.39,292.6356200319955,1.0,True,librosa-yin,200.0,1007.0
0.4,293.0368360270885,1.0,True,librosa-yin,200.0,1007.0
0.41,291.93438587612394,1.0,True,librosa-yin,200.0,1007.0
0.42,298.4957249408568,1.0,True,librosa-yin,200.0,1007.0
0.43,296.3827321207327,1.0,True,librosa-yin,200.0,1007.0
0.44,291.8619435108242,1.0,True,librosa-yin,200.0,1007.0
0.45,287.51009076413925,1.0,True,librosa-yin,200.0,1007.0
0.46,287.9154241417825,1.0,True,librosa-yin,200.0,1007.0
0.47,316.670771736788,1.0,True,librosa-yin,200.0,1007.0
0.48,0.0,1.0,False,librosa-yin,200.0,1007.0
0.49,0.0,1.0,False,librosa-yin,200.0,1007.0
0.5,316.40283434028606,1.0,True,librosa-yin,200.0,1007.0
0.51,317.1240750887402,1.0,True,librosa-yin,200.0,1007.0
0.52,319.30680896758514,1.0,True,librosa-yin,200.0,1007.0
0.53,319.87246986652553,1.0,True,librosa-yin,200.0,1007.0
0.54,308.2546811548869,1.0,True,librosa-yin,200.0,1007.0
0.55,301.07096391634326,1.0,True,librosa-yin,200.0,1007.0
0.56,298.34661450749434,1.0,True,librosa-yin,200.0,1007.0
0.57,300.4310985893167,1.0,True,librosa-yin,200.0,1007.0
0.58,304.24515231623275,1.0,True,librosa-yin,200.0,1007.0
0.59,304.5220529012926,1.0,True,librosa-yin,200.0,1007.0
0.6,222.05254627044837,1.0,True,librosa-yin,200.0,1007.0
0.61,222.39398036152406,1.0,True,librosa-yin,200.0,1007.0
0.62,0.0,1.0,False,librosa-yin,200.0,1007.0
0.63,0.0,1.0,False,librosa-yin,200.0,1007.0
0.64,0.0,1.0,False,librosa-yin,200.0,1007.0
0.65,0.0,1.0,False,librosa-yin,200.0,1007.0
0.66,0.0,1.0,False,librosa-yin,200.0,1007.0
0.67,0.0,1.0,False,librosa-yin,200.0,1007.0
0.68,0.0,1.0,False,librosa-yin,200.0,1007.0
0.69,0.0,1.0,False,librosa-yin,200.0,1007.0
0.7,282.9544839149849,1.0,True,librosa-yin,200.0,1007.0
0.71,259.19636016544484,1.0,True,librosa-yin,200.0,1007.0
0.72,283.1164913345131,1.0,True,librosa-yin,200.0,1007.0
0.73,282.5586013080708,1.0,True,librosa-yin,200.0,1007.0
0.74,282.7620288494363,1.0,True,librosa-yin,200.0,1007.0
0.75,283.1303231180168,1.0,True,librosa-yin,200.0,1007.0
0.76,509.1389405877573,1.0,True,librosa-yin,200.0,1007.0
0.77,289.55855049214415,1.0,True,librosa-yin,200.0,1007.0
0.78,287.4490881445191,1.0,True,librosa-yin,200.0,1007.0
0.79,286.10130143499174,1.0,True,librosa-yin,200.0,1007.0
0.8,218.35733838425196,1.0,True,librosa-yin,200.0,1007.0
0.81,218.78493658632885,1.0,True,librosa-yin,200.0,1007.0
0.82,218.15892173691495,1.0,True,librosa-yin,200.0,1007.0
0.83,218.09900710766735,1.0,True,librosa-yin,200.0,1007.0
0.84,287.5188329905258,1.0,True,librosa-yin,200.0,1007.0
0.85,288.6226819075787,1.0,True,librosa-yin,200.0,1007.0
0.86,290.28970655368164,1.0,True,librosa-yin,200.0,1007.0
0.87,290.9565659290715,1.0,True,librosa-yin,200.0,1007.0
0.88,293.19899042519864,1.0,True,librosa-yin,200.0,1007.0
0.89,294.61261980199527,1.0,True,librosa-yin,200.0,1007.0
0.9,293.42239793325234,1.0,True,librosa-yin,200.0,1007.0
0.91,290.0470297149421,1.0,True,librosa-yin,200.0,1007.0
0.92,290.73948778180255,1.0,True,librosa-yin,200.0,1007.0
0.93,291.8132394530501,1.0,True,librosa-yin,200.0,1007.0
0.94,301.6916818107728,1.0,True,librosa-yin,200.0,1007.0
0.95,286.52984268884137,1.0,True,librosa-yin,200.0,1007.0
0.96,290.3434914955436,1.0,True,librosa-yin,200.0,1007.0
0.97,287.8976332677289,1.0,True,librosa-yin,200.0,1007.0
0.98,287.2369368346516,1.0,True,librosa-yin,200.0,1007.0
0.99,288.16093707731005,1.0,True,librosa-yin,200.0,1007.0
1.0,288.77815544350324,1.0,True,librosa-yin,200.0,1007.0
1.01,218.3038716266039,1.0,True,librosa-yin,200.0,1007.0
1.02,218.46751283303783,1.0,True,librosa-yin,200.0,1007.0
1.03,218.28235332113863,1.0,True,librosa-yin,200.0,1007.0
1.04,218.58672909480495,1.0,True,librosa-yin,200.0,1007.0
