time,frequency_hz,confidence,voiced,model,low_hz,high_hz
0.0,0.0,0.0,False,pyworld-dio,135.0,400.0
0.01,0.0,0.0,False,pyworld-dio,135.0,400.0
0.02,0.0,0.0,False,pyworld-dio,135.0,400.0
0.03,0.0,0.0,False,pyworld-dio,135.0,400.0
0.04,0.0,0.0,False,pyworld-dio,135.0,400.0
0.05,0.0,0.0,False,pyworld-dio,135.0,400.0
0.06,142.26072958002993,1.0,True,pyworld-dio,135.0,400.0
0.07,159.437101756195,1.0,True,pyworld-dio,135.0,400.0
0.08,160.5382874894164,1.0,True,pyworld-dio,135.0,400.0
0.09,170.0300238899831,1.0,True,pyworld-dio,135.0,400.0
0.1,178.7544017483706,1.0,True,pyworld-dio,135.0,400.0
0.11,176.83003363116438,1.0,True,pyworld-dio,135.0,400.0
0.12,174.01049321120578,1.0,True,pyworld-dio,135.0,400.0
0.13,0.0,0.0,False,pyworld-dio,135.0,400.0
0.14,0.0,0.0,False,pyworld-dio,135.0,400.0
0.15,0.0,0.0,False,pyworld-dio,135.0,400.0
0.16,0.0,0.0,False,pyworld-dio,135.0,400.0
0.17,0.0,0.0,False,pyworld-dio,135.0,400.0
0.18,0.0,0.0,False,pyworld-dio,135.0,400.0
0.19,0.0,0.0,False,pyworld-dio,135.0,400.0
0.2,0.0,0.0,False,pyworld-dio,135.0,400.0
0.21,157.5405605158356,1.0,True,pyworld-dio,135.0,400.0
0.22,0.0,0.0,False,pyworld-dio,135.0,400.0
0.23,0.0,0.0,False,pyworld-dio,135.0,400.0
0.24,0.0,0.0,False,pyworld-dio,135.0,400.0
0.25,0.0,0.0,False,pyworld-dio,135.0,400.0
0.26,0.0,0.0,False,pyworld-dio,135.0,400.0
0.27,0.0,0.0,False,pyworld-dio,135.0,400.0
0.28,0.0,0.0,False,pyworld-dio,135.0,400.0
0.29,0.0,0.0,False,pyworld-dio,135.0,400.0
0.3,0.0,0.0,False,pyworld-dio,135.0,400.0
0.31,0.0,0.0,False,pyworld-dio,135.0,400.0
0.32,0.0,0.0,False,pyworld-dio,135.0,400.0
0.33,225.5687432536675,1.0,True,pyworld-dio,135.0,400.0
0.34,180.46842908670828,1.0,True,pyworld-dio,135.0,400.0
0.35,0.0,0.0,False,pyworld-dio,135.0,400.0
0.36,0.0,0.0,False,pyworld-dio,135.0,400.0
0.37,0.0,0.0,False,pyworld-dio,135.0,400.0
0.38,0.0,0.0,False,pyworld-dio,135.0,400.0
0.39,0.0,0.0,False,pyworld-dio,135.0,400.0
0.4,0.0,0.0,False,pyworld-dio,135.0,400.0
0.41,0.0,0.0,False,pyworld-dio,135.0,400.0
0.42,0.0,0.0,False,pyworld-dio,135.0,400.0
0.43,0.0,0.0,False,pyworld-dio,135.0,400.0
0.44,0.0,0.0,False,pyworld-dio,135.0,400.0
0.45,0.0,0.0,False,pyworld-dio,135.0,400.0
0.46,0.0,0.0,False,pyworld-dio,135.0,400.0
0.47,0.0,0.0,False,pyworld-dio,135.0,400.0
0.48,0.0,0.0,False,pyworld-dio,135.0,400.0
0.49,0.0,0.0,False,pyworld-dio,135.0,400.0
0.5,0.0,0.0,False,pyworld-dio,135.0,400.0
0.51,0.0,0.0,False,pyworld-dio,135.0,400.0
0.52,0.0,0.0,False,pyworld-dio,135.0,400.0
0.53,0.0,0.0,False,pyworld-dio,135.0,400.0
0.54,0.0,0.0,False,pyworld-dio,135.0,400.0
0.55,0.0,0.0,False,pyworld-dio,135.0,400.0
0.56,0.0,0.0,False,pyworld-dio,135.0,400.0
0.57,0.0,0.0,False,pyworld-dio,135.0,400.0
0.58,159.22850802311817,1.0,True,pyworld-dio,135.0,400.0
0.59,0.0,0.0,False,pyworld-dio,135.0,400.0
0.6,0.0,0.0,False,pyworld-dio,135.0,400.0
0.61,0.0,0.0,False,pyworld-dio,135.0,400.0
0.62,0.0,0.0,False,pyworld-dio,135.0,400.0
0.63,0.0,0.0,False,pyworld-dio,135.0,400.0
0.64,0.0,0.0,False,pyworld-dio,135.0,400.0
0.65,0.0,0.0,False,pyworld-dio,135.0,400.0
0.66,0.0,0.0,False,pyworld-dio,135.0,400.0
0.67,0.0,0.0,False,pyworld-dio,135.0,400.0
0.68,0.0,0.0,False,pyworld-dio,135.0,400.0
0.69,0.0,0.0,False,pyworld-dio,135.0,400.0
0.7,0.0,0.0,False,pyworld-dio,135.0,400.0
0.71,0.0,0.0,False,pyworld-dio,135.0,400.0
0.72,0.0,0.0,False,pyworld-dio,135.0,400.0
0.73,0.0,0.0,False,pyworld-dio,135.0,400.0
0.74,0.0,0.0,False,pyworld-dio,135.0,400.0
0.75,0.0,0.0,False,pyworld-dio,135.0,400.0
0.76,0.0,0.0,False,pyworld-dio,135.0,400.0
0.77,0.0,0.0,False,pyworld-dio,135.0,400.0
0.78,0.0,0.0,False,pyworld-dio,135.0,400.0
0.79,0.0,0.0,False,pyworld-dio,135.0,400.0
0.8,0.0,0.0,False,pyworld-dio,135.0,400.0
0.81,0.0,0.0,False,pyworld-dio,135.0,400.0
0.82,0.0,0.0,False,pyworld-dio,135.0,400.0
0.83,0.0,0.0,False,pyworld-dio,135.0,400.0
0.84,0.0,0.0,False,pyworld-dio,135.0,400.0
0.85,0.0,0.0,False,pyworld-dio,135.0,400.0
0.86,276.41676761801915,1.0,True,pyworld-dio,135.0,400.0
0.87,253.447605853791,1.0,True,pyworld-dio,135.0,400.0
0.88,251.65789953063737,1.0,True,pyworld-dio,135.0,400.0
0.89,250.74093871543548,1.0,True,pyworld-dio,135.0,400.0
0.9,256.89869588818067,1.0,True,pyworld-dio,135.0,400.0
0.91,244.76365020581144,1.0,True,pyworld-dio,135.0,400.0
0.92,238.00796245738974,1.0,True,pyworld-dio,135.0,400.0
0.93,256.3488396612239,1.0,True,pyworld-dio,135.0,400.0
0.94,255.86346894980286,1.0,True,pyworld-dio,135.0,400.0
0.95,252.4621933593804,1.0,True,pyworld-dio,135.0,400.0
0.96,249.20395104035802,1.0,True,pyworld-dio,135.0,400.0
0.97,0.0,0.0,False,pyworld-dio,135.0,400.0
0.98,269.522379308866,1.0,True,pyworld-dio,135.0,400.0
0.99,257.83572691981885,1.0,True,pyworld-dio,135.0,400.0
1.0,238.35276907008728,1.0,True,pyworld-dio,135.0,400.0
1.01,234.95100689567124,1.0,True,pyworld-dio,135.0,400.0
1.02,232.0926642902617,1.0,True,pyworld-dio,135.0,400.0
1.03,245.02345569675592,1.0,True,pyworld-dio,135.0,400.0
1.04,0.0,0.0,False,pyworld-dio,135.0,400.0
1.05,0.0,0.0,False,pyworld-dio,135.0,400.0
1.06,0.0,0.0,False,pyworld-dio,135.0,400.0
1.07,0.0,0.0,False,pyworld-dio,135.0,400.0
1.08,0.0,0.0,False,pyworld-dio,135.0,400.0
1.09,0.0,0.0,False,pyworld-dio,135.0,400.0
1.1,251.20366730296774,1.0,True,pyworld-dio,135.0,400.0
1.11,247.13664133011548,1.0,True,pyworld-dio,135.0,400.0
1.12,247.84487672548718,1.0,True,pyworld-dio,135.0,400.0
1.13,242.67809307304503,1.0,True,pyworld-dio,135.0,400.0
1.14,245.41948235172543,1.0,True,pyworld-dio,135.0,400.0
1.15,252.95358878264796,1.0,True,pyworld-dio,135.0,400.0
1.16,242.008644673821,1.0,True,pyworld-dio,135.0,400.0
1.17,0.0,0.0,False,pyworld-dio,135.0,400.0
1.18,222.37898311502445,1.0,True,pyworld-dio,135.0,400.0
1.19,234.45099474102867,1.0,True,pyworld-dio,135.0,400.0
1.2,244.46945379974204,1.0,True,pyworld-dio,135.0,400.0
