time,frequency_hz,confidence,voiced,model,low_hz,high_hz,backend_model
0.0,0.0,0.00462588295340538,False,torchcrepe,135.0,400.0,full
0.01,0.0,0.007103406358510256,False,torchcrepe,135.0,400.0,full
0.02,0.0,0.009322423487901688,False,torchcrepe,135.0,400.0,full
0.03,155.46673583984375,0.27156150341033936,True,torchcrepe,135.0,400.0,full
0.04,154.81756591796875,0.278634637594223,True,torchcrepe,135.0,400.0,full
0.05,154.41885375976562,0.4521757960319519,True,torchcrepe,135.0,400.0,full
0.06,153.3414306640625,0.4521757960319519,True,torchcrepe,135.0,400.0,full
0.07,157.47129821777344,0.36797720193862915,True,torchcrepe,135.0,400.0,full
0.08,168.7058868408203,0.36797720193862915,True,torchcrepe,135.0,400.0,full
0.09,172.8341827392578,0.5975088477134705,True,torchcrepe,135.0,400.0,full
0.1,177.0842742919922,0.6791042685508728,True,torchcrepe,135.0,400.0,full
0.11,179.89688110351562,0.7201700210571289,True,torchcrepe,135.0,400.0,full
0.12,180.24954223632812,0.7201700210571289,True,torchcrepe,135.0,400.0,full
0.13,180.019775390625,0.6472501158714294,True,torchcrepe,135.0,400.0,full
0.14,179.32176208496094,0.5020881295204163,True,torchcrepe,135.0,400.0,full
0.15,180.183837890625,0.41474995017051697,True,torchcrepe,135.0,400.0,full
0.16,178.36135864257812,0.374841570854187,True,torchcrepe,135.0,400.0,full
0.17,181.77171325683594,0.374841570854187,True,torchcrepe,135.0,400.0,full
0.18,181.76394653320312,0.43559813499450684,True,torchcrepe,135.0,400.0,full
0.19,180.57147216796875,0.4605972468852997,True,torchcrepe,135.0,400.0,full
0.2,173.2203826904297,0.4572972059249878,True,torchcrepe,135.0,400.0,full
0.21,172.47695922851562,0.4572972059249878,True,torchcrepe,135.0,400.0,full
0.22,172.81777954101562,0.277614563703537,True,torchcrepe,135.0,400.0,full
0.23,0.0,0.11595005542039871,False,torchcrepe,135.0,400.0,full
0.24,0.0,0.11595005542039871,False,torchcrepe,135.0,400.0,full
0.25,176.47918701171875,0.40423181653022766,True,torchcrepe,135.0,400.0,full
0.26,180.9495391845703,0.40423181653022766,True,torchcrepe,135.0,400.0,full
0.27,183.88632202148438,0.42801329493522644,True,torchcrepe,135.0,400.0,full
0.28,184.349365234375,0.3667304217815399,True,torchcrepe,135.0,400.0,full
0.29,184.7799072265625,0.2563941776752472,True,torchcrepe,135.0,400.0,full
0.3,0.0,0.037951260805130005,False,torchcrepe,135.0,400.0,full
0.31,0.0,0.009501402266323566,False,torchcrepe,135.0,400.0,full
0.32,0.0,0.009501402266323566,False,torchcrepe,135.0,400.0,full
0.33,0.0,0.10347992926836014,False,torchcrepe,135.0,400.0,full
0.34,182.8597412109375,0.25609368085861206,True,torchcrepe,135.0,400.0,full
0.35,183.84103393554688,0.261056125164032,True,torchcrepe,135.0,400.0,full
0.36,184.8563995361328,0.4193542003631592,True,torchcrepe,135.0,400.0,full
0.37,181.86973571777344,0.4193542003631592,True,torchcrepe,135.0,400.0,full
0.38,183.0009765625,0.4193542003631592,True,torchcrepe,135.0,400.0,full
0.39,179.97784423828125,0.6469058990478516,True,torchcrepe,135.0,400.0,full
0.4,178.65493774414062,0.6959221363067627,True,torchcrepe,135.0,400.0,full
0.41,174.61663818359375,0.6959221363067627,True,torchcrepe,135.0,400.0,full
0.42,173.7001190185547,0.6897560954093933,True,torchcrepe,135.0,400.0,full
0.43,174.084228515625,0.6303685307502747,True,torchcrepe,135.0,400.0,full
0.44,176.48886108398438,0.6303685307502747,True,torchcrepe,135.0,400.0,full
0.45,174.83804321289062,0.22113314270973206,True,torchcrepe,135.0,400.0,full
0.46,0.0,0.08910372108221054,False,torchcrepe,135.0,400.0,full
0.47,0.0,0.05524909496307373,False,torchcrepe,135.0,400.0,full
0.48,0.0,0.04255475103855133,False,torchcrepe,135.0,400.0,full
0.49,0.0,0.0025226848665624857,False,torchcrepe,135.0,400.0,full
0.5,0.0,0.0025226848665624857,False,torchcrepe,135.0,400.0,full
0.51,0.0,0.006332716904580593,False,torchcrepe,135.0,400.0,full
0.52,0.0,0.006332716904580593,False,torchcrepe,135.0,400.0,full
0.53,0.0,0.004317181650549173,False,torchcrepe,135.0,400.0,full
0.54,0.0,0.004317181650549173,False,torchcrepe,135.0,400.0,full
0.55,0.0,0.039967600256204605,False,torchcrepe,135.0,400.0,full
0.56,0.0,0.1872093230485916,False,torchcrepe,135.0,400.0,full
0.57,174.6812286376953,0.30365949869155884,True,torchcrepe,135.0,400.0,full
0.58,174.1500701904297,0.3982961177825928,True,torchcrepe,135.0,400.0,full
0.59,174.54652404785156,0.6031336188316345,True,torchcrepe,135.0,400.0,full
0.6,177.5557098388672,0.6857458353042603,True,torchcrepe,135.0,400.0,full
0.61,177.80577087402344,0.6857458353042603,True,torchcrepe,135.0,400.0,full
0.62,181.6172637939453,0.6769594550132751,True,torchcrepe,135.0,400.0,full
0.63,180.20474243164062,0.6082081198692322,True,torchcrepe,135.0,400.0,full
