time,frequency_hz,confidence,voiced,model,low_hz,high_hz,backend_model
0.0,0.0,0.17383739352226257,False,torchcrepe,200.0,1007.0,full
0.01,268.94317626953125,0.288411945104599,True,torchcrepe,200.0,1007.0,full
0.02,270.3048400878906,0.288411945104599,True,torchcrepe,200.0,1007.0,full
0.03,262.8647155761719,0.288411945104599,True,torchcrepe,200.0,1007.0,full
0.04,262.20635986328125,0.2778405249118805,True,torchcrepe,200.0,1007.0,full
0.05,262.8042297363281,0.2698846757411957,True,torchcrepe,200.0,1007.0,full
0.06,260.5831604003906,0.2698846757411957,True,torchcrepe,200.0,1007.0,full
0.07,0.0,0.13067717850208282,False,torchcrepe,200.0,1007.0,full
0.08,0.0,0.13067717850208282,False,torchcrepe,200.0,1007.0,full
0.09,0.0,0.10145717859268188,False,torchcrepe,200.0,1007.0,full
0.1,0.0,0.05782996118068695,False,torchcrepe,200.0,1007.0,full
0.11,0.0,0.016748063266277313,False,torchcrepe,200.0,1007.0,full
0.12,0.0,0.006473185494542122,False,torchcrepe,200.0,1007.0,full
0.13,0.0,0.006473185494542122,False,torchcrepe,200.0,1007.0,full
0.14,0.0,0.008423230610787868,False,torchcrepe,200.0,1007.0,full
0.15,0.0,0.06211991608142853,False,torchcrepe,200.0,1007.0,full
0.16,0.0,0.1917240470647812,False,torchcrepe,200.0,1007.0,full
0.17,263.6419677734375,0.2322572022676468,True,torchcrepe,200.0,1007.0,full
0.18,261.6855773925781,0.24474582076072693,True,torchcrepe,200.0,1007.0,full
0.19,262.8522644042969,0.24474582076072693,True,torchcrepe,200.0,1007.0,full
0.2,0.0,0.18237987160682678,False,torchcrepe,200.0,1007.0,full
0.21,0.0,0.18237987160682678,False,torchcrepe,200.0,1007.0,full
0.22,240.51510620117188,0.5350239872932434,True,torchcrepe,200.0,1007.0,full
0.23,237.87905883789062,0.6724216938018799,True,torchcrepe,200.0,1007.0,full
0.24,240.1161346435547,0.7880505919456482,True,torchcrepe,200.0,1007.0,full
0.25,238.93646240234375,0.8489373326301575,True,torchcrepe,200.0,1007.0,full
0.26,239.28372192382812,0.9101158380508423,True,torchcrepe,200.0,1007.0,full
0.27,238.98873901367188,0.9101158380508423,True,torchcrepe,200.0,1007.0,full
0.28,241.6309356689453,0.8863120675086975,True,torchcrepe,200.0,1007.0,full
0.29,240.55160522460938,0.8055649399757385,True,torchcrepe,200.0,1007.0,full
0.3,243.95938110351562,0.7387884855270386,True,torchcrepe,200.0,1007.0,full
0.31,245.37391662597656,0.4517481029033661,True,torchcrepe,200.0,1007.0,full
0.32,246.9902801513672,0.34375670552253723,True,torchcrepe,200.0,1007.0,full
0.33,246.36077880859375,0.23042058944702148,True,torchcrepe,200.0,1007.0,full
0.34,0.0,0.20466181635856628,False,torchcrepe,200.0,1007.0,full
0.35,0.0,0.18688589334487915,False,torchcrepe,200.0,1007.0,full
0.36,0.0,0.20466181635856628,False,torchcrepe,200.0,1007.0,full
0.37,240.506591796875,0.26493406295776367,True,torchcrepe,200.0,1007.0,full
0.38,239.02902221679688,0.3319941759109497,True,torchcrepe,200.0,1007.0,full
0.39,237.88174438476562,0.5788547396659851,True,torchcrepe,200.0,1007.0,full
0.4,239.22518920898438,0.5788547396659851,True,torchcrepe,200.0,1007.0,full
0.41,240.6973114013672,0.5765276551246643,True,torchcrepe,200.0,1007.0,full
0.42,239.7776641845703,0.45597121119499207,True,torchcrepe,200.0,1007.0,full
0.43,0.0,0.17803549766540527,False,torchcrepe,200.0,1007.0,full
0.44,0.0,0.13845178484916687,False,torchcrepe,200.0,1007.0,full
0.45,0.0,0.02399730123579502,False,torchcrepe,200.0,1007.0,full
0.46,0.0,0.007054890971630812,False,torchcrepe,200.0,1007.0,full
0.47,0.0,0.007054890971630812,False,torchcrepe,200.0,1007.0,full
0.48,0.0,0.18513615429401398,False,torchcrepe,200.0,1007.0,full
0.49,289.37872314453125,0.36258581280708313,True,torchcrepe,200.0,1007.0,full
0.5,289.5191650390625,0.4340727627277374,True,torchcrepe,200.0,1007.0,full
0.51,288.95562744140625,0.5491185188293457,True,torchcrepe,200.0,1007.0,full
0.52,290.4759521484375,0.5697511434555054,True,torchcrepe,200.0,1007.0,full
0.53,290.94110107421875,0.5491185188293457,True,torchcrepe,200.0,1007.0,full
0.54,290.8782043457031,0.4852277636528015,True,torchcrepe,200.0,1007.0,full
0.55,292.427001953125,0.4852277636528015,True,torchcrepe,200.0,1007.0,full
0.56,289.6785583496094,0.6174639463424683,True,torchcrepe,200.0,1007.0,full
0.57,291.4355773925781,0.6174639463424683,True,torchcrepe,200.0,1007.0,full
0.58,290.94732666015625,0.5229179859161377,True,torchcrepe,200.0,1007.0,full
0.59,292.8445739746094,0.2632097899913788,True,torchcrepe,200.0,1007.0,full
0.6,0.0,0.1644858866930008,False,torchcrepe,200.0,1007.0,full
0.61,0.0,0.07643688470125198,False,torchcrepe,200.0,1007.0,full
0.62,0.0,0.022558070719242096,False,torchcrepe,200.0,1007.0,full
0.63,0.0,0.003898094641044736,False,torchcrepe,200.0,1007.0,full
0.64,0.0,0.001375293591991067,False,torchcrepe,200.0,1007.0,full
0.65,0.0,0.001375293591991067,False,torchcrepe,200.0,1007.0,full
0.66,0.0,0.030459512025117874,False,torchcrepe,200.0,1007.0,full
0.67,288.1535339355469,0.34079256653785706,True,torchcrepe,200.0,1007.0,full
0.68,286.1477355957031,0.347478985786438,True,torchcrepe,200.0,1007.0,full
0.69,279.57574462890625,0.3554125428199768,True,torchcrepe,200.0,1007.0,full
0.7,282.013671875,0.347478985786438,True,torchcrepe,200.0,1007.0,full
0.71,277.0906982421875,0.2322998344898224,True,torchcrepe,200.0,1007.0,full
0.72,259.58575439453125,0.2322998344898224,True,torchcrepe,200.0,1007.0,full
0.73,241.4309539794922,0.6770787835121155,True,torchcrepe,200.0,1007.0,full
0.74,242.1141815185547,0.8186606168746948,True,torchcrepe,200.0,1007.0,full
0.75,240.7966766357422,0.8776887059211731,True,torchcrepe,200.0,1007.0,full
0.76,237.31773376464844,0.9238746166229248,True,torchcrepe,200.0,1007.0,full
0.77,240.60073852539062,0.9343521595001221,True,torchcrepe,200.0,1007.0,full
0.78,240.730712890625,0.9502455592155457,True,torchcrepe,200.0,1007.0,full
0.79,240.98313903808594,0.9502455592155457,True,torchcrepe,200.0,1007.0,full
0.8,242.14300537109375,0.9221017956733704,True,torchcrepe,200.0,1007.0,full
0.81,244.90455627441406,0.738821804523468,True,torchcrepe,200.0,1007.0,full
0.82,254.36158752441406,0.42494991421699524,True,torchcrepe,200.0,1007.0,full
0.83,0.0,0.0792626440525055,False,torchcrepe,200.0,1007.0,full
0.84,0.0,0.0792626440525055,False,torchcrepe,200.0,1007.0,full
0.85,0.0,0.11776603013277054,False,torchcrepe,200.0,1007.0,full
0.86,258.8028869628906,0.44518354535102844,True,torchcrepe,200.0,1007.0,full
0.87,259.9168701171875,0.7548408508300781,True,torchcrepe,200.0,1007.0,full
0.88,259.06964111328125,0.8606022000312805,True,torchcrepe,200.0,1007.0,full
0.89,258.0775146484375,0.8956235647201538,True,torchcrepe,200.0,1007.0,full
0.9,259.16839599609375,0.9241205453872681,True,torchcrepe,200.0,1007.0,full
0.91,258.2859802246094,0.9241205453872681,True,torchcrepe,200.0,1007.0,full
0.92,261.48785400390625,0.8738131523132324,True,torchcrepe,200.0,1007.0,full
0.93,269.2887268066406,0.7061404585838318,True,torchcrepe,200.0,1007.0,full
0.94,290.6507263183594,0.7061404585838318,True,torchcrepe,200.0,1007.0,full
0.95,287.3306884765625,0.8476355075836182,True,torchcrepe,200.0,1007.0,full
0.96,288.3347473144531,0.8946729898452759,True,torchcrepe,200.0,1007.0,full
0.97,288.4002380371094,0.9234775900840759,True,torchcrepe,200.0,1007.0,full
0.98,287.4509582519531,0.96502286195755,True,torchcrepe,200.0,1007.0,full
0.99,288.693115234375,0.96502286195755,True,torchcrepe,200.0,1007.0,full
1.0,286.1003723144531,0.9580317139625549,True,torchcrepe,200.0,1007.0,full
1.01,288.2115478515625,0.9500496983528137,True,torchcrepe,200.0,1007.0,full
1.02,290.0421142578125,0.9500496983528137,True,torchcrepe,200.0,1007.0,full
1.03,289.5120849609375,0.9500496983528137,True,torchcrepe,200.0,1007.0,full
1.04,290.66705322265625,0.9492670297622681,True,torchcrepe,200.0,1007.0,full
1.05,288.2073669433594,0.9463746547698975,True,torchcrepe,200.0,1007.0,full
1.06,288.5386657714844,0.8678800463676453,True,torchcrepe,200.0,1007.0,full
1.07,287.1725158691406,0.6830630302429199,True,torchcrepe,200.0,1007.0,full
1.08,287.5704040527344,0.6830630302429199,True,torchcrepe,200.0,1007.0,full
1.09,288.5634765625,0.8522899150848389,True,torchcrepe,200.0,1007.0,full
1.1,288.917724609375,0.9004207849502563,True,torchcrepe,200.0,1007.0,full
1.11,288.56671142578125,0.9004207849502563,True,torchcrepe,200.0,1007.0,full
1.12,285.62579345703125,0.9004207849502563,True,torchcrepe,200.0,1007.0,full
1.13,289.47515869140625,0.9145930409431458,True,torchcrepe,200.0,1007.0,full
1.14,292.16461181640625,0.935109555721283,True,torchcrepe,200.0,1007.0,full
1.15,291.2115173339844,0.935109555721283,True,torchcrepe,200.0,1007.0,full
1.16,290.2142639160156,0.8722656965255737,True,torchcrepe,200.0,1007.0,full
1.17,288.2174377441406,0.8482568860054016,True,torchcrepe,200.0,1007.0,full
1.18,287.8684387207031,0.6697671413421631,True,torchcrepe,200.0,1007.0,full
1.19,287.5747985839844,0.4637119174003601,True,torchcrepe,200.0,1007.0,full
1.2,288.8695983886719,0.2348572313785553,True,torchcrepe,200.0,1007.0,full
1.21,0.0,0.07924752682447433,False,torchcrepe,200.0,1007.0,full
1.22,0.0,0.008892216719686985,False,torchcrepe,200.0,1007.0,full
1.23,0.0,0.008892216719686985,False,torchcrepe,200.0,1007.0,full
1.24,0.0,0.20973709225654602,False,torchcrepe,200.0,1007.0,full
1.25,245.76113891601562,0.6971732378005981,True,torchcrepe,200.0,1007.0,full
1.26,247.56761169433594,0.8157666325569153,True,torchcrepe,200.0,1007.0,full
1.27,246.2998046875,0.8774584531784058,True,torchcrepe,200.0,1007.0,full
1.28,243.9200439453125,0.9187219738960266,True,torchcrepe,200.0,1007.0,full
1.29,245.491943359375,0.9187219738960266,True,torchcrepe,200.0,1007.0,full
1.3,245.97747802734375,0.8012465238571167,True,torchcrepe,200.0,1007.0,full
1.31,249.5354461669922,0.6298398375511169,True,torchcrepe,200.0,1007.0,full
1.32,250.86776733398438,0.5366291999816895,True,torchcrepe,200.0,1007.0,full
1.33,252.42652893066406,0.4221281409263611,True,torchcrepe,200.0,1007.0,full
1.34,0.0,0.194982647895813,False,torchcrepe,200.0,1007.0,full
1.35,0.0,0.07520747184753418,False,torchcrepe,200.0,1007.0,full
1.36,0.0,0.07130488753318787,False,torchcrepe,200.0,1007.0,full
1.37,0.0,0.07520747184753418,False,torchcrepe,200.0,1007.0,full
1.38,0.0,0.16236382722854614,False,torchcrepe,200.0,1007.0,full
1.39,236.36740112304688,0.4919830858707428,True,torchcrepe,200.0,1007.0,full
1.4,236.29788208007812,0.6253357529640198,True,torchcrepe,200.0,1007.0,full
1.41,237.9805908203125,0.6318455934524536,True,torchcrepe,200.0,1007.0,full
1.42,237.79110717773438,0.632301926612854,True,torchcrepe,200.0,1007.0,full
1.43,238.75820922851562,0.6318455934524536,True,torchcrepe,200.0,1007.0,full
1.44,240.5565185546875,0.5270422101020813,True,torchcrepe,200.0,1007.0,full
1.45,243.55020141601562,0.37879320979118347,True,torchcrepe,200.0,1007.0,full
1.46,0.0,0.06513964384794235,False,torchcrepe,200.0,1007.0,full
1.47,0.0,0.06513964384794235,False,torchcrepe,200.0,1007.0,full
1.48,0.0,0.07424795627593994,False,torchcrepe,200.0,1007.0,full
1.49,0.0,0.0755169540643692,False,torchcrepe,200.0,1007.0,full
1.5,0.0,0.08742120862007141,False,torchcrepe,200.0,1007.0,full
1.51,0.0,0.18880699574947357,False,torchcrepe,200.0,1007.0,full
1.52,0.0,0.18880699574947357,False,torchcrepe,200.0,1007.0,full
1.53,0.0,0.18880699574947357,False,torchcrepe,200.0,1007.0,full
1.54,323.8043212890625,0.23289042711257935,True,torchcrepe,200.0,1007.0,full
1.55,326.2481689453125,0.24301883578300476,True,torchcrepe,200.0,1007.0,full
1.56,329.0677490234375,0.3855995237827301,True,torchcrepe,200.0,1007.0,full
1.57,327.8014831542969,0.48051851987838745,True,torchcrepe,200.0,1007.0,full
1.58,327.05657958984375,0.533453643321991,True,torchcrepe,200.0,1007.0,full
1.59,332.8549499511719,0.7347637414932251,True,torchcrepe,200.0,1007.0,full
1.6,331.7054443359375,0.7508420348167419,True,torchcrepe,200.0,1007.0,full
1.61,331.60479736328125,0.751663088798523,True,torchcrepe,200.0,1007.0,full
1.62,329.8201904296875,0.751663088798523,True,torchcrepe,200.0,1007.0,full
1.63,328.6755676269531,0.8088635206222534,True,torchcrepe,200.0,1007.0,full
1.64,324.77001953125,0.8088635206222534,True,torchcrepe,200.0,1007.0,full
1.65,328.7621765136719,0.7930537462234497,True,torchcrepe,200.0,1007.0,full
1.66,328.9443359375,0.7676641941070557,True,torchcrepe,200.0,1007.0,full
1.67,327.9034423828125,0.625394880771637,True,torchcrepe,200.0,1007.0,full
1.68,323.49505615234375,0.29585254192352295,True,torchcrepe,200.0,1007.0,full
1.69,0.0,0.12138555198907852,False,torchcrepe,200.0,1007.0,full
