time,frequency_hz,confidence,voiced,model,low_hz,high_hz
0.0,0.0,0.0,False,yaapt,208.0,415.0
0.01,0.0,0.0,False,yaapt,208.0,415.0
0.02,0.0,0.0,False,yaapt,208.0,415.0
0.03,0.0,0.0,False,yaapt,208.0,415.0
0.04,0.0,0.0,False,yaapt,208.0,415.0
0.05,0.0,0.0,False,yaapt,208.0,415.0
0.06,0.0,0.0,False,yaapt,208.0,415.0
0.07,0.0,0.0,False,yaapt,208.0,415.0
0.08,0.0,0.0,False,yaapt,208.0,415.0
0.09,0.0,0.0,False,yaapt,208.0,415.0
0.1,0.0,0.0,False,yaapt,208.0,415.0
0.11,0.0,0.0,False,yaapt,208.0,415.0
0.12,0.0,0.0,False,yaapt,208.0,415.0
0.13,0.0,0.0,False,yaapt,208.0,415.0
0.14,0.0,0.0,False,yaapt,208.0,415.0
0.15,0.0,0.0,False,yaapt,208.0,415.0
0.16,0.0,0.0,False,yaapt,208.0,415.0
0.17,0.0,0.0,False,yaapt,208.0,415.0
0.18,0.0,0.0,False,yaapt,208.0,415.0
0.19,0.0,0.0,False,yaapt,208.0,415.0
0.2,226.15384615384616,1.0,True,yaapt,208.0,415.0
0.21,209.94873046875,1.0,True,yaapt,208.0,415.0
0.22,209.94873046875,1.0,True,yaapt,208.0,415.0
0.23,209.94873046875,1.0,True,yaapt,208.0,415.0
0.24,209.94873046875,1.0,True,yaapt,208.0,415.0
0.25,209.94873046875,1.0,True,yaapt,208.0,415.0
0.26,209.94873046875,1.0,True,yaapt,208.0,415.0
0.27,209.94873046875,1.0,True,yaapt,208.0,415.0
0.28,292.05298013245033,1.0,True,yaapt,208.0,415.0
0.29,292.05298013245033,1.0,True,yaapt,208.0,415.0
0.3,292.05298013245033,1.0,True,yaapt,208.0,415.0
0.31,0.0,0.0,False,yaapt,208.0,415.0
0.32,0.0,0.0,False,yaapt,208.0,415.0
0.33,0.0,0.0,False,yaapt,208.0,415.0
0.34,218.31683168316832,1.0,True,yaapt,208.0,415.0
0.35,218.31683168316832,1.0,True,yaapt,208.0,415.0
0.36,218.31683168316832,1.0,True,yaapt,208.0,415.0
