time,frequency_hz,confidence,voiced,model,low_hz,high_hz
0.0,0.0,1.0,False,librosa-yin,50.0,2000.0
0.01,0.0,1.0,False,librosa-yin,50.0,2000.0
0.02,0.0,1.0,False,librosa-yin,50.0,2000.0
0.03,0.0,1.0,False,librosa-yin,50.0,2000.0
0.04,0.0,1.0,False,librosa-yin,50.0,2000.0
0.05,0.0,1.0,False,librosa-yin,50.0,2000.0
0.06,0.0,1.0,False,librosa-yin,50.0,2000.0
0.07,0.0,1.0,False,librosa-yin,50.0,2000.0
0.08,0.0,1.0,False,librosa-yin,50.0,2000.0
0.09,0.0,1.0,False,librosa-yin,50.0,2000.0
0.1,0.0,1.0,False,librosa-yin,50.0,2000.0
0.11,0.0,1.0,False,librosa-yin,50.0,2000.0
0.12,0.0,1.0,False,librosa-yin,50.0,2000.0
0.13,0.0,1.0,False,librosa-yin,50.0,2000.0
0.14,0.0,1.0,True,librosa-yin,50.0,2000.0
0.15,0.0,1.0,True,librosa-yin,50.0,2000.0
0.16,0.0,1.0,True,librosa-yin,50.0,2000.0
0.17,0.0,1.0,True,librosa-yin,50.0,2000.0
0.18,0.0,1.0,True,librosa-yin,50.0,2000.0
0.19,0.0,1.0,True,librosa-yin,50.0,2000.0
0.2,0.0,1.0,True,librosa-yin,50.0,2000.0
0.21,0.0,1.0,True,librosa-yin,50.0,2000.0
0.22,0.0,1.0,True,librosa-yin,50.0,2000.0
0.23,0.0,1.0,True,librosa-yin,50.0,2000.0
0.24,349.2282314330039,1.0,True,librosa-yin,50.0,2000.0
0.25,369.9944227116344,1.0,True,librosa-yin,50.0,2000.0
0.26,207.65234878997256,1.0,True,librosa-yin,50.0,2000.0
0.27,220.0,1.0,True,librosa-yin,50.0,2000.0
0.28,207.65234878997256,1.0,True,librosa-yin,50.0,2000.0
0.29,207.65234878997256,1.0,True,librosa-yin,50.0,2000.0
0.3,207.65234878997256,1.0,True,librosa-yin,50.0,2000.0
0.31,207.65234878997256,1.0,True,librosa-yin,50.0,2000.0
0.32,207.65234878997256,1.0,True,librosa-yin,50.0,2000.0
0.33,207.65234878997256,1.0,True,librosa-yin,50.0,2000.0
0.34,207.65234878997256,1.0,True,librosa-yin,50.0,2000.0
0.35,207.65234878997256,1.0,True,librosa-yin,50.0,2000.0
0.36,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.37,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.38,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.39,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.4,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.41,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.42,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.43,164.81377845643496,1.0,True,librosa-yin,50.0,2000.0
0.44,164.81377845643496,1.0,True,librosa-yin,50.0,2000.0
0.45,174.61411571650194,1.0,True,librosa-yin,50.0,2000.0
0.46,174.61411571650194,1.0,True,librosa-yin,50.0,2000.0
0.47,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.48,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.49,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.5,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.51,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.52,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.53,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.54,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.55,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.56,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.57,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.58,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.59,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.6,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.61,184.9972113558172,1.0,True,librosa-yin,50.0,2000.0
0.62,195.99771799087463,1.0,True,librosa-yin,50.0,2000.0
0.63,220.0,1.0,True,librosa-yin,50.0,2000.0
0.64,233.08188075904496,1.0,True,librosa-yin,50.0,2000.0
0.65,246.94165062806206,1.0,True,librosa-yin,50.0,2000.0
0.66,261.6255653005986,1.0,True,librosa-yin,50.0,2000.0
0.67,277.1826309768721,1.0,True,librosa-yin,50.0,2000.0
0.68,277.1826309768721,1.0,True,librosa-yin,50.0,2000.0
0.69,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
0.7,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
0.71,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
0.72,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
0.73,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
0.74,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
0.75,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
0.76,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
0.77,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
0.78,293.6647679174076,1.0,True,librosa-yin,50.0,2000.0
