time,frequency_hz,confidence,voiced,model,low_hz,high_hz
0.0,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.01,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.02,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.03,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.04,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.05,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.06,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.07,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.08,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.09,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.1,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.11,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.12,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.13,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.14,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.15,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.16,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.17,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.18,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.19,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.2,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.21,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.22,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.23,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.24,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.25,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.26,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.27,183.93959948588716,1.0,True,pyworld-harvest,50.0,2000.0
0.28,215.49557229496355,1.0,True,pyworld-harvest,50.0,2000.0
0.29,167.13497739944543,1.0,True,pyworld-harvest,50.0,2000.0
0.3,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.31,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.32,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.33,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.34,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.35,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.36,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.37,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.38,184.28431018841286,1.0,True,pyworld-harvest,50.0,2000.0
0.39,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.4,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.41,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.42,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.43,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.44,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.45,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.46,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.47,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.48,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.49,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.5,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.51,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.52,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.53,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.54,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.55,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.56,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.57,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.58,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.59,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.6,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.61,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.62,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.63,0.0,0.0,False,pyworld-harvest,50.0,2000.0
0.64,263.75789111135293,1.0,True,pyworld-harvest,50.0,2000.0
0.65,293.327781045636,1.0,True,pyworld-harvest,50.0,2000.0
0.66,286.5802943654423,1.0,True,pyworld-harvest,50.0,2000.0
0.67,211.44564425802122,1.0,True,pyworld-harvest,50.0,2000.0
0.68,253.66142047471527,1.0,True,pyworld-harvest,50.0,2000.0
0.69,287.3547040723402,1.0,True,pyworld-harvest,50.0,2000.0
0.7,286.4287434169421,1.0,True,pyworld-harvest,50.0,2000.0
0.71,322.1158439399528,1.0,True,pyworld-harvest,50.0,2000.0
0.72,294.61403286226624,1.0,True,pyworld-harvest,50.0,2000.0
0.73,292.43463453335164,1.0,True,pyworld-harvest,50.0,2000.0
0.74,297.2087306667552,1.0,True,pyworld-harvest,50.0,2000.0
0.75,291.9685790981515,1.0,True,pyworld-harvest,50.0,2000.0
0.76,293.35099554173996,1.0,True,pyworld-harvest,50.0,2000.0
0.77,293.49655990156566,1.0,True,pyworld-harvest,50.0,2000.0
0.78,291.35138749270743,1.0,True,pyworld-harvest,50.0,2000.0
0.79,289.5626150834134,1.0,True,pyworld-harvest,50.0,2000.0
0.8,293.6818721919449,1.0,True,pyworld-harvest,50.0,2000.0
0.81,293.00799832629997,1.0,True,pyworld-harvest,50.0,2000.0
0.82,291.39057422945535,1.0,True,pyworld-harvest,50.0,2000.0
0.83,292.6915011171728,1.0,True,pyworld-harvest,50.0,2000.0
0.84,290.2560644091291,1.0,True,pyworld-harvest,50.0,2000.0
0.85,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.86,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.87,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.88,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.89,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.9,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.91,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.92,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.93,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.94,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.95,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.96,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.97,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.98,0.0,1.0,True,pyworld-harvest,50.0,2000.0
0.99,0.0,1.0,True,pyworld-harvest,50.0,2000.0
1.0,0.0,1.0,True,pyworld-harvest,50.0,2000.0
1.01,171.32269275864414,1.0,True,pyworld-harvest,50.0,2000.0
1.02,173.59732422937603,1.0,True,pyworld-harvest,50.0,2000.0
1.03,176.5268115496888,1.0,True,pyworld-harvest,50.0,2000.0
1.04,177.14989633419745,1.0,True,pyworld-harvest,50.0,2000.0
1.05,177.69103833610714,1.0,True,pyworld-harvest,50.0,2000.0
1.06,177.2581572586802,1.0,True,pyworld-harvest,50.0,2000.0
1.07,177.26701253478205,1.0,True,pyworld-harvest,50.0,2000.0
1.08,176.94440058341604,1.0,True,pyworld-harvest,50.0,2000.0
1.09,177.44205596168115,1.0,True,pyworld-harvest,50.0,2000.0
1.1,177.51100974282028,1.0,True,pyworld-harvest,50.0,2000.0
1.11,178.62355468129627,1.0,True,pyworld-harvest,50.0,2000.0
1.12,179.62921995705435,1.0,True,pyworld-harvest,50.0,2000.0
1.13,179.7984111395468,1.0,True,pyworld-harvest,50.0,2000.0
1.14,276.24443226562306,1.0,True,pyworld-harvest,50.0,2000.0
1.15,345.6161084317328,1.0,True,pyworld-harvest,50.0,2000.0
1.16,321.90885736812913,1.0,True,pyworld-harvest,50.0,2000.0
1.17,299.2312032684221,1.0,True,pyworld-harvest,50.0,2000.0
1.18,288.36782348911214,1.0,True,pyworld-harvest,50.0,2000.0
1.19,295.28925267463006,1.0,True,pyworld-harvest,50.0,2000.0
1.2,291.81893394137427,1.0,True,pyworld-harvest,50.0,2000.0
1.21,292.85740785072466,1.0,True,pyworld-harvest,50.0,2000.0
1.22,289.2300278543666,1.0,True,pyworld-harvest,50.0,2000.0
1.23,282.7565069293174,1.0,True,pyworld-harvest,50.0,2000.0
1.24,310.7262840953,1.0,True,pyworld-harvest,50.0,2000.0
1.25,276.76414852253504,1.0,True,pyworld-harvest,50.0,2000.0
1.26,273.7872213009815,1.0,True,pyworld-harvest,50.0,2000.0
1.27,288.6913162502596,1.0,True,pyworld-harvest,50.0,2000.0
1.28,319.09179270550953,1.0,True,pyworld-harvest,50.0,2000.0
1.29,220.9118538369594,1.0,True,pyworld-harvest,50.0,2000.0
1.3,220.90037091771606,1.0,True,pyworld-harvest,50.0,2000.0
1.31,224.70281217086017,1.0,True,pyworld-harvest,50.0,2000.0
1.32,225.45736296767623,1.0,True,pyworld-harvest,50.0,2000.0
1.33,219.85145139971533,1.0,True,pyworld-harvest,50.0,2000.0
1.34,219.85783845539325,1.0,True,pyworld-harvest,50.0,2000.0
1.35,190.92947470517908,1.0,True,pyworld-harvest,50.0,2000.0
1.36,214.31139999931042,1.0,True,pyworld-harvest,50.0,2000.0
1.37,220.83580528270622,1.0,True,pyworld-harvest,50.0,2000.0
1.38,223.3659502736596,1.0,True,pyworld-harvest,50.0,2000.0
1.39,222.90040225965075,1.0,True,pyworld-harvest,50.0,2000.0
1.4,224.2606964120268,1.0,True,pyworld-harvest,50.0,2000.0
1.41,220.47340112646947,1.0,True,pyworld-harvest,50.0,2000.0
1.42,224.23501825424322,1.0,True,pyworld-harvest,50.0,2000.0
1.43,221.47298367016577,1.0,True,pyworld-harvest,50.0,2000.0
1.44,201.63936581327982,1.0,True,pyworld-harvest,50.0,2000.0
1.45,216.01531633341645,1.0,True,pyworld-harvest,50.0,2000.0
1.46,218.55199494529953,1.0,True,pyworld-harvest,50.0,2000.0
1.47,217.36405477364363,1.0,True,pyworld-harvest,50.0,2000.0
1.48,217.02819447160644,1.0,True,pyworld-harvest,50.0,2000.0
1.49,216.60661986131282,1.0,True,pyworld-harvest,50.0,2000.0
