time,frequency_hz,confidence,voiced,model,low_hz,high_hz,backend_model
0.0,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.01,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.02,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.03,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.04,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.05,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.06,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.07,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.08,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.09,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.1,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.11,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.12,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.13,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.14,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.15,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.16,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.17,0.0,0.00579181918874383,False,torchcrepe,50.0,2000.0,full
0.18,0.0,0.0057915993966162205,False,torchcrepe,50.0,2000.0,full
0.19,0.0,0.005791459698230028,False,torchcrepe,50.0,2000.0,full
0.2,0.0,0.00579071557149291,False,torchcrepe,50.0,2000.0,full
0.21,0.0,0.005791459698230028,False,torchcrepe,50.0,2000.0,full
0.22,0.0,0.005789955146610737,False,torchcrepe,50.0,2000.0,full
0.23,0.0,0.005126182455569506,False,torchcrepe,50.0,2000.0,full
0.24,0.0,0.005126182455569506,False,torchcrepe,50.0,2000.0,full
0.25,0.0,0.003367071971297264,False,torchcrepe,50.0,2000.0,full
0.26,0.0,0.0017955455696210265,False,torchcrepe,50.0,2000.0,full
0.27,0.0,0.0017955455696210265,False,torchcrepe,50.0,2000.0,full
0.28,0.0,0.0017955455696210265,False,torchcrepe,50.0,2000.0,full
0.29,0.0,0.00014309903781395406,False,torchcrepe,50.0,2000.0,full
0.3,0.0,1.409067954227794e-05,False,torchcrepe,50.0,2000.0,full
0.31,0.0,4.597976897002809e-07,False,torchcrepe,50.0,2000.0,full
0.32,0.0,4.597976897002809e-07,False,torchcrepe,50.0,2000.0,full
0.33,0.0,7.180563557085407e-07,False,torchcrepe,50.0,2000.0,full
0.34,0.0,7.578286727039085e-07,False,torchcrepe,50.0,2000.0,full
0.35,0.0,7.180563557085407e-07,False,torchcrepe,50.0,2000.0,full
0.36,0.0,1.2518878520495491e-06,False,torchcrepe,50.0,2000.0,full
0.37,0.0,1.4522898936775164e-06,False,torchcrepe,50.0,2000.0,full
0.38,0.0,3.5657546959555475e-06,False,torchcrepe,50.0,2000.0,full
0.39,0.0,3.7131937915546587e-06,False,torchcrepe,50.0,2000.0,full
0.4,0.0,7.197893864940852e-06,False,torchcrepe,50.0,2000.0,full
0.41,0.0,1.713165511318948e-05,False,torchcrepe,50.0,2000.0,full
